movie_id,title,genres,keywords,overview,cast,director
1,The Shawshank Redemption,Drama,hope prison friendship redemption banker,A wrongly convicted banker forms an unlikely friendship with a fellow inmate while enduring years inside a brutal prison.,Tim Robbins Morgan Freeman,Frank Darabont
2,The Godfather,Crime Drama,mafia family power loyalty succession,The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.,Marlon Brando Al Pacino,Francis Ford Coppola
3,The Dark Knight,Action Crime Thriller,superhero vigilante chaos moral choice,A vigilante billionaire battles a chaotic criminal mastermind determined to plunge Gotham City into anarchy.,Christian Bale Heath Ledger,Christopher Nolan
4,Pulp Fiction,Crime Drama,nonlinear hitman boxer diner robbery,Interwoven tales of gangsters boxers and diner bandits unfold across a nonlinear Los Angeles crime saga.,John Travolta Samuel L Jackson,Quentin Tarantino
5,Forrest Gump,Drama Romance,destiny history simplicity vietnam war,A slow-witted but kind-hearted man recounts how he unwittingly influenced major historical events across decades.,Tom Hanks Robin Wright,Robert Zemeckis
6,Inception,Action Sci-Fi Thriller,dream heist subconscious layered reality,A skilled thief who steals secrets through dream infiltration is offered a chance to have his past erased.,Leonardo DiCaprio Joseph Gordon-Levitt,Christopher Nolan
7,The Matrix,Action Sci-Fi,simulation hacker rebellion virtual reality,A computer hacker discovers reality is a simulated construct and joins a rebellion against its controllers.,Keanu Reeves Laurence Fishburne,Lana Wachowski
8,Interstellar,Adventure Drama Sci-Fi,space time travel wormhole survival,A team of explorers travels through a wormhole in search of a new habitable planet as Earth dies.,Matthew McConaughey Anne Hathaway,Christopher Nolan
9,Fight Club,Drama,insomnia underground identity anarchy,An insomniac office worker and a soap salesman form an underground fight club that spirals into anarchy.,Brad Pitt Edward Norton,David Fincher
10,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy,quest ring hobbit middle earth,A hobbit and his companions set out on a perilous quest to destroy a powerful ring and save Middle-earth.,Elijah Wood Ian McKellen,Peter Jackson
11,Star Wars,Adventure Fantasy Sci-Fi,rebellion empire jedi space opera,A farm boy joins a rebellion against a tyrannical empire after discovering he has a powerful destiny.,Mark Hamill Harrison Ford,George Lucas
12,Gladiator,Action Adventure Drama,revenge arena roman empire betrayal,A betrayed Roman general seeks vengeance against the corrupt emperor who murdered his family.,Russell Crowe Joaquin Phoenix,Ridley Scott
13,Titanic,Drama Romance,shipwreck class divide doomed love,A penniless artist and a wealthy young woman fall in love aboard a doomed transatlantic voyage.,Leonardo DiCaprio Kate Winslet,James Cameron
